year,pop,rate,ratelow,rateupp,age
2011,Male Non-Maori,457.296518154313,449.237897355234,465.355138953391,72
2012,Male Non-Maori,445.170472301074,437.319290564584,453.021654037564,72
2013,Male Non-Maori,414.601541482207,407.13763794713,422.065445017285,72
1996,Male,706.688602714686,695.189609454597,718.187595974776,90
1997,Male,682.144504107129,670.966790890224,693.322217324034,90
1998,Male,646.273283435491,635.493622289743,657.052944581239,90
1999,Male,658.374601791485,647.604926414241,669.144277168728,90
2000,Male,619.667328830225,609.330106153862,630.004551506587,90
2001,Male,611.039289534616,600.902657312103,621.17592175713,90
2002,Male,598.669314106381,588.772990210478,608.565638002284,90
2003,Male,574.655843271938,565.086712602659,584.224973941217,90
2004,Male,567.046614468748,557.666183943397,576.427044994098,90
2005,Male,529.47766145683,520.502978309383,538.452344604277,90
2006,Male,532.443180615092,523.571949190382,541.314412039802,90
2007,Male,517.729934251905,509.105687270327,526.354181233483,90
2008,Male,515.912411865956,507.413181264036,524.411642467875,90
2009,Male,501.969472950522,493.67496510015,510.263980800894,90
2010,Male,479.871794206971,471.878702769491,487.864885644452,90
2011,Male,484.021564409195,476.098859571713,491.944269246678,90
2012,Male,473.243098435795,465.505001286076,480.981195585513,90
2013,Male,441.465922944974,434.100370294784,448.831475595163,90
1996,Female Maori,904.046945159926,848.040092800708,960.053797519144,108
1997,Female Maori,835.833029605546,783.468633322447,888.197425888644,108
1998,Female Maori,781.834523089574,732.034698207381,831.634347971767,108
1999,Female Maori,800.391545877826,751.220459686137,849.562632069515,108
2000,Female Maori,777.083621564497,729.43005078293,824.737192346064,108
2001,Female Maori,767.346623574931,721.644375135904,813.048872013959,108
2002,Female Maori,714.212539531515,671.088663397599,757.336415665431,108
2003,Female Maori,698.039071188822,656.334303139257,739.743839238388,108
2004,Female Maori,690.856877963421,650.504389879,731.209366047842,108
2005,Female Maori,685.439571276691,645.683584560363,725.195557993019,108
2006,Female Maori,661.176473248164,623.409204855495,698.943741640834,108
2007,Female Maori,633.64819219684,597.73958973017,669.55679466351,108
2008,Female Maori,659.260223505585,623.481152162119,695.039294849052,108
2009,Female Maori,627.140248010519,593.089172162028,661.19132385901,108
2010,Female Maori,597.335474582169,565.030125195885,629.640823968452,108
2011,Female Maori,613.632673335894,581.716620844071,645.548725827717,108
2012,Female Maori,569.753871857526,539.774775576913,599.732968138138,108
2013,Female Maori,547.680837042638,518.985903436027,576.37577064925,108
1996,Female Non-Maori,443.060628740454,434.731679606947,451.389577873961,126
1997,Female Non-Maori,415.621007510791,407.633484420127,423.608530601454,126
1998,Female Non-Maori,402.66470492522,394.843641137823,410.485768712618,126
1999,Female Non-Maori,417.086071883234,409.19517148782,424.976972278648,126
2000,Female Non-Maori,381.760660604495,374.23144827712,389.28987293187,126
2001,Female Non-Maori,393.234767837553,385.750776006771,400.718759668335,126
2002,Female Non-Maori,393.401112787945,385.919816136948,400.882409438942,126
2003,Female Non-Maori,380.990812389395,373.712913865826,388.268710912963,126
2004,Female Non-Maori,384.865756762895,377.603076031881,392.128437493909,126
2005,Female Non-Maori,353.391189876685,346.530529681622,360.251850071748,126
2006,Female Non-Maori,364.052997443087,357.188979037862,370.917015848311,126
2007,Female Non-Maori,353.427317206255,346.650760053167,360.203874359343,126
2008,Female Non-Maori,356.977039743644,350.245574794364,363.708504692924,126
2009,Female Non-Maori,346.862322315477,340.260553615629,353.464091015324,126
2010,Female Non-Maori,333.533033439417,327.153742909547,339.912323969287,126
2011,Female Non-Maori,348.428780702661,341.997681261792,354.85988014353,126
2012,Female Non-Maori,335.572043330274,329.327833274198,341.816253386351,126
2013,Female Non-Maori,308.628028880281,302.70198493003,314.554072830532,126
1996,Female,474.42671516309,466.077055460212,482.776374865968,144
1997,Female,445.389727691511,437.380289392622,453.399165990399,144
1998,Female,428.540519243621,420.746621176283,436.33441731096,144
1999,Female,444.30894621755,436.459985825833,452.157906609266,144
2000,Female,409.067064335526,401.569760659387,416.564368011665,144
2001,Female,422.519493649709,415.032033776914,430.006953522505,144
2002,Female,417.99010607926,410.602246221537,425.377965936982,144
2003,Female,406.090202331008,398.876122078046,413.304282583971,144
2004,Female,409.895543414503,402.716851422934,417.074235406072,144
2005,Female,378.948167248684,372.132051288256,385.764283209111,144
2006,Female,390.023733578503,383.186663406895,396.860803750111,144
2007,Female,378.341359619028,371.630106134637,385.05261310342,144
2008,Female,382.041647730785,375.399720486379,388.683574975191,144
2009,Female,371.270600948151,364.757106526537,377.784095369765,144
2010,Female,356.91895083207,350.623728389432,363.214173274708,144
2011,Female,372.693243554255,366.340587410159,379.045899698351,144
2012,Female,357.327780939199,351.18836756644,363.467194311959,144
2013,Female,329.924806202439,324.092702225809,335.75691017907,144
