ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
Total,1972,Male,18.97,16.56,21.39,243,1456270,0.000166865
00-04,1972,Male,0,0,0,0,154250,0
05-09,1972,Male,0,0,0,0,154810,0
10-14,1972,Male,0,0,0,0,158390,0
15-19,1972,Male,0.73,0,2.15,1,137680,7.26e-06
20-24,1972,Male,0,0,0,0,121140,0
25-29,1972,Male,0.98,0,2.91,1,101780,9.83e-06
30-34,1972,Male,3.34,0,7.13,3,89690,3.34e-05
35-39,1972,Male,6.53,0.81,12.25,5,76600,6.53e-05
40-44,1972,Male,1.22,0,3.6,1,82140,1.22e-05
45-49,1972,Male,11.14,3.86,18.42,9,80760,0.000111441
50-54,1972,Male,21.01,10.38,31.64,15,71410,0.000210055
55-59,1972,Male,37.22,22.33,52.1,24,64490,0.000372151
60-64,1972,Male,61.61,41.2,82.02,35,56810,0.000616089
65-69,1972,Male,90.83,62.68,118.97,40,44040,0.000908265
70-74,1972,Male,136.85,94.96,178.74,41,29960,0.001368491
75-79,1972,Male,153.76,94.65,212.86,26,16910,0.001537552
80+,1972,Male,272.55,190.12,354.98,42,15410,0.002725503
Total,1973,Male,20.25,17.77,22.73,264,1487100,0.000177527
00-04,1973,Male,0,0,0,0,156030,0
05-09,1973,Male,0,0,0,0,153790,0
10-14,1973,Male,0,0,0,0,161560,0
15-19,1973,Male,0,0,0,0,142520,0
20-24,1973,Male,0,0,0,0,123890,0
25-29,1973,Male,0,0,0,0,109180,0
30-34,1973,Male,4.26,0.09,8.43,4,93920,4.26e-05
35-39,1973,Male,1.28,0,3.78,1,78390,1.28e-05
40-44,1973,Male,6.16,0.76,11.55,5,81230,6.16e-05
45-49,1973,Male,4.9,0.1,9.7,4,81630,4.9e-05
50-54,1973,Male,17.58,8.02,27.14,13,73940,0.000175818
55-59,1973,Male,31.31,17.59,45.04,20,63870,0.000313136
60-64,1973,Male,67.22,46.12,88.31,39,58020,0.000672182
65-69,1973,Male,114.49,83.37,145.6,52,45420,0.00114487
70-74,1973,Male,143.95,101.89,186.01,45,31260,0.001439539
75-79,1973,Male,225.3,154.59,296.01,39,17310,0.002253033
80+,1973,Male,277.41,193.51,361.31,42,15140,0.002774108
Total,1974,Male,19.59,17.16,22.02,258,1518870,0.000169863
00-04,1974,Male,0,0,0,0,156360,0
05-09,1974,Male,0,0,0,0,154370,0
10-14,1974,Male,0,0,0,0,163460,0
15-19,1974,Male,0,0,0,0,147630,0
20-24,1974,Male,0,0,0,0,127460,0
25-29,1974,Male,0,0,0,0,116560,0
30-34,1974,Male,1.02,0,3.01,1,98240,1.02e-05
35-39,1974,Male,2.46,0,5.87,2,81280,2.46e-05
40-44,1974,Male,9.91,3.04,16.78,8,80720,9.91e-05
45-49,1974,Male,7.33,1.46,13.19,6,81910,7.33e-05
50-54,1974,Male,20.85,10.63,31.07,16,76740,0.000208496
55-59,1974,Male,31.62,17.76,45.47,20,63260,0.000316156
60-64,1974,Male,44,27.09,60.91,26,59090,0.000440007
65-69,1974,Male,94.48,66.56,122.4,44,46570,0.000944814
70-74,1974,Male,154.42,111.61,197.22,50,32380,0.001544163
75-79,1974,Male,284.6,206.49,362.71,51,17920,0.002845982
80+,1974,Male,227.88,151.28,304.48,34,14920,0.00227882
Total,1975,Male,18.47,16.15,20.8,251,1547610,0.000162186
00-04,1975,Male,0,0,0,0,154370,0
05-09,1975,Male,0,0,0,0,157100,0
10-14,1975,Male,0,0,0,0,164120,0
15-19,1975,Male,0,0,0,0,150790,0
20-24,1975,Male,0.76,0,2.26,1,131220,7.62e-06
25-29,1975,Male,0.81,0,2.41,1,122960,8.13e-06
30-34,1975,Male,2.98,0,6.36,3,100590,2.98e-05
35-39,1975,Male,2.33,0,5.57,2,85740,2.33e-05
40-44,1975,Male,3.77,0,8.04,3,79520,3.77e-05
45-49,1975,Male,8.46,2.19,14.72,7,82790,8.46e-05
50-54,1975,Male,16.62,7.59,25.66,13,78210,0.000166219
55-59,1975,Male,38.8,23.59,54.01,25,64430,0.000388018
60-64,1975,Male,63.1,43.04,83.17,38,60220,0.00063102
65-69,1975,Male,80.68,55.36,106,39,48340,0.000806785
70-74,1975,Male,147.63,106.3,188.97,49,33190,0.001476348
75-79,1975,Male,147.76,93.03,202.49,28,18950,0.001477573
80+,1975,Male,278.7,194.41,362.99,42,15070,0.002786994
Total,1976,Male,21.99,19.45,24.52,299,1562900,0.000191311
00-04,1976,Male,0,0,0,0,150060,0
05-09,1976,Male,0,0,0,0,160350,0
10-14,1976,Male,0,0,0,0,163330,0
15-19,1976,Male,0,0,0,0,154880,0
20-24,1976,Male,0,0,0,0,131770,0
25-29,1976,Male,0,0,0,0,124740,0
30-34,1976,Male,1.95,0,4.65,2,102520,1.95e-05
35-39,1976,Male,6.62,1.32,11.92,6,90580,6.62e-05
40-44,1976,Male,6.39,0.79,12,5,78200,6.39e-05
45-49,1976,Male,16.85,8.02,25.67,14,83110,0.000168451
50-54,1976,Male,23,12.37,33.63,18,78260,0.000230003
55-59,1976,Male,36.23,21.74,50.73,24,66240,0.000362319
60-64,1976,Male,49.73,31.93,67.52,30,60330,0.000497265
65-69,1976,Male,101.13,73.1,129.17,50,49440,0.001011327
70-74,1976,Male,147.97,106.96,188.99,50,33790,0.001479728
75-79,1976,Male,230.46,163.86,297.06,46,19960,0.002304609
80+,1976,Male,352.25,258.3,446.2,54,15330,0.003522505
Total,1977,Male,16.07,13.94,18.2,228,1567100,0.000145492
00-04,1977,Male,0,0,0,0,144500,0
05-09,1977,Male,0,0,0,0,160910,0
10-14,1977,Male,0,0,0,0,160010,0
15-19,1977,Male,0,0,0,0,159180,0
20-24,1977,Male,0,0,0,0,131900,0
25-29,1977,Male,0,0,0,0,123070,0
30-34,1977,Male,0,0,0,0,106770,0
35-39,1977,Male,2.15,0,5.12,2,93140,2.15e-05
40-44,1977,Male,1.28,0,3.78,1,78340,1.28e-05
45-49,1977,Male,9.85,3.02,16.68,8,81200,9.85e-05
50-54,1977,Male,7.58,1.52,13.65,6,79120,7.58e-05
55-59,1977,Male,26.75,14.39,39.1,18,67300,0.000267459
60-64,1977,Male,53.19,34.76,71.62,32,60160,0.000531915
65-69,1977,Male,83.47,58.22,108.71,42,50320,0.000834658
70-74,1977,Male,148.53,108.16,188.9,52,35010,0.00148529
75-79,1977,Male,149.18,96.67,201.7,31,20780,0.001491819
80+,1977,Male,234.68,158.02,311.34,36,15340,0.002346806
Total,1978,Male,16.79,14.67,18.92,248,1566700,0.000158295
00-04,1978,Male,0,0,0,0,138420,0
05-09,1978,Male,0,0,0,0,159430,0
10-14,1978,Male,0,0,0,0,156990,0
15-19,1978,Male,0,0,0,0,161720,0
20-24,1978,Male,0,0,0,0,132880,0
25-29,1978,Male,0,0,0,0,120290,0
30-34,1978,Male,0.9,0,2.66,1,111240,8.99e-06
35-39,1978,Male,2.12,0,5.05,2,94450,2.12e-05
40-44,1978,Male,3.8,0,8.09,3,79030,3.8e-05
45-49,1978,Male,11.36,3.94,18.78,9,79240,0.000113579
50-54,1978,Male,12.49,4.75,20.24,10,80040,0.000124938
55-59,1978,Male,31.77,18.5,45.05,22,69240,0.000317735
60-64,1978,Male,74.36,52.39,96.33,44,59170,0.00074362
65-69,1978,Male,105.43,77.31,133.55,54,51220,0.001054276
70-74,1978,Male,105.03,71.64,138.43,38,36180,0.001050304
75-79,1978,Male,180.06,123.54,236.57,39,21660,0.001800554
80+,1978,Male,167.31,103,231.62,26,15540,0.001673102
Total,1979,Male,16.02,13.95,18.09,237,1561700,0.000151758
00-04,1979,Male,0,0,0,0,133350,0
05-09,1979,Male,0,0,0,0,155530,0
10-14,1979,Male,0,0,0,0,155360,0
15-19,1979,Male,0,0,0,0,162000,0
20-24,1979,Male,0.75,0,2.22,1,133160,7.51e-06
25-29,1979,Male,0,0,0,0,117940,0
30-34,1979,Male,0.87,0,2.58,1,114540,8.73e-06
35-39,1979,Male,0,0,0,0,94970,0
40-44,1979,Male,8.77,2.27,15.26,7,79830,8.77e-05
45-49,1979,Male,6.41,0.79,12.02,5,78030,6.41e-05
50-54,1979,Male,13.71,5.61,21.82,11,80220,0.000137123
55-59,1979,Male,32.48,19.21,45.76,23,70810,0.000324813
60-64,1979,Male,42.66,25.94,59.39,25,58600,0.000426621
65-69,1979,Male,75.45,51.77,99.13,39,51690,0.000754498
70-74,1979,Male,129.35,92.75,165.94,48,37110,0.001293452
75-79,1979,Male,211.64,151.77,271.51,48,22680,0.002116402
80+,1979,Male,182.85,116.3,249.4,29,15860,0.001828499
Total,1980,Male,17.46,15.33,19.58,267,1563600,0.00017076
00-04,1980,Male,0,0,0,0,130370,0
05-09,1980,Male,0,0,0,0,149950,0
10-14,1980,Male,0,0,0,0,154600,0
15-19,1980,Male,0.62,0,1.84,1,161290,6.2e-06
20-24,1980,Male,0,0,0,0,136790,0
25-29,1980,Male,0.85,0,2.51,1,117870,8.48e-06
30-34,1980,Male,0,0,0,0,117290,0
35-39,1980,Male,2.07,0,4.94,2,96510,2.07e-05
40-44,1980,Male,6.09,0.75,11.42,5,82140,6.09e-05
45-49,1980,Male,13.16,5,21.31,10,76010,0.000131562
50-54,1980,Male,16.19,7.39,24.99,13,80290,0.000161913
55-59,1980,Male,37.43,23.31,51.54,27,72140,0.000374272
60-64,1980,Male,57.79,38.37,77.22,34,58830,0.000577936
65-69,1980,Male,113.92,84.85,142.99,59,51790,0.001139216
70-74,1980,Male,128.37,92.43,164.32,49,38170,0.001283731
75-79,1980,Male,175.66,121.89,229.43,41,23340,0.001756641
80+,1980,Male,155.18,94.35,216.01,25,16110,0.001551831
Total,1981,Male,18.17,15.98,20.35,274,1569300,0.0001746
00-04,1981,Male,0,0,0,0,128140,0
05-09,1981,Male,0,0,0,0,146210,0
10-14,1981,Male,0,0,0,0,156030,0
15-19,1981,Male,0.64,0,1.89,1,156530,6.39e-06
20-24,1981,Male,0,0,0,0,138860,0
25-29,1981,Male,0,0,0,0,120460,0
30-34,1981,Male,1.67,0,3.99,2,119500,1.67e-05
35-39,1981,Male,4.09,0.08,8.09,4,97840,4.09e-05
40-44,1981,Male,3.48,0,7.43,3,86110,3.48e-05
45-49,1981,Male,14.61,5.98,23.25,11,75280,0.000146121
50-54,1981,Male,17.72,8.44,27,14,79000,0.000177215
55-59,1981,Male,31.35,18.54,44.17,23,73360,0.000313522
60-64,1981,Male,58.27,38.96,77.57,35,60070,0.000582654
65-69,1981,Male,93.65,67.43,119.88,49,52320,0.000936544
70-74,1981,Male,128.93,93.19,164.67,50,38780,0.001289324
75-79,1981,Male,156.32,105.95,206.68,37,23670,0.00156316
80+,1981,Male,262.24,185.62,338.86,45,17160,0.002622378
Total,1982,Male,16.4,14.35,18.44,254,1579300,0.000160831
00-04,1982,Male,0,0,0,0,127080,0
05-09,1982,Male,0,0,0,0,141180,0
10-14,1982,Male,0,0,0,0,157160,0
15-19,1982,Male,0,0,0,0,154050,0
20-24,1982,Male,0,0,0,0,142990,0
25-29,1982,Male,0.82,0,2.42,1,122510,8.16e-06
30-34,1982,Male,0.84,0,2.47,1,119600,8.36e-06
35-39,1982,Male,3.89,0.08,7.7,4,102920,3.89e-05
40-44,1982,Male,5.64,0.7,10.57,5,88730,5.64e-05
45-49,1982,Male,7.97,1.59,14.34,6,75310,7.97e-05
50-54,1982,Male,16.72,7.63,25.8,13,77770,0.00016716
55-59,1982,Male,29.82,17.36,42.28,22,73770,0.000298224
60-64,1982,Male,59.96,40.64,79.28,37,61710,0.000599579
65-69,1982,Male,75.94,52.41,99.48,40,52670,0.000759446
70-74,1982,Male,113.29,80.19,146.39,45,39720,0.001132931
75-79,1982,Male,173.84,121.27,226.42,42,24160,0.001738411
80+,1982,Male,211.58,144.31,278.85,38,17960,0.002115813
Total,1983,Male,14.64,12.72,16.55,230,1599400,0.000143804
00-04,1983,Male,0,0,0,0,128080,0
05-09,1983,Male,0,0,0,0,136620,0
10-14,1983,Male,0,0,0,0,157100,0
15-19,1983,Male,0,0,0,0,153040,0
20-24,1983,Male,0,0,0,0,148920,0
25-29,1983,Male,0.79,0,2.34,1,126620,7.9e-06
30-34,1983,Male,3.32,0.07,6.58,4,120380,3.32e-05
35-39,1983,Male,1.82,0,4.33,2,110120,1.82e-05
40-44,1983,Male,5.48,0.68,10.29,5,91160,5.48e-05
45-49,1983,Male,9.14,2.37,15.9,7,76620,9.14e-05
50-54,1983,Male,22.18,11.63,32.72,17,76660,0.000221758
55-59,1983,Male,35.3,21.73,48.87,26,73660,0.000352973
60-64,1983,Male,57.63,39.06,76.2,37,64200,0.000576324
65-69,1983,Male,57.78,37.1,78.46,30,51920,0.000577812
70-74,1983,Male,100.94,70.04,131.83,41,40620,0.001009355
75-79,1983,Male,103.75,63.87,143.63,26,25060,0.00103751
80+,1983,Male,183.09,121.55,244.63,34,18570,0.00183091
Total,1984,Male,13.83,12,15.67,223,1613100,0.000138243
00-04,1984,Male,0,0,0,0,129000,0
05-09,1984,Male,0,0,0,0,132980,0
10-14,1984,Male,0,0,0,0,154850,0
15-19,1984,Male,0,0,0,0,153610,0
20-24,1984,Male,0,0,0,0,150970,0
25-29,1984,Male,0,0,0,0,130400,0
30-34,1984,Male,0.83,0,2.45,1,120910,8.27e-06
35-39,1984,Male,4.31,0.53,8.09,5,115970,4.31e-05
40-44,1984,Male,4.29,0.09,8.49,4,93280,4.29e-05
45-49,1984,Male,6.36,0.79,11.94,5,78560,6.36e-05
50-54,1984,Male,12.02,4.17,19.88,9,74860,0.000120224
55-59,1984,Male,29.85,17.38,42.33,22,73690,0.000298548
60-64,1984,Male,33.24,19.35,47.13,22,66180,0.000332427
65-69,1984,Male,68.47,45.78,91.15,35,51120,0.000684664
70-74,1984,Male,101.84,71.04,132.64,42,41240,0.001018429
75-79,1984,Male,168.26,118.54,217.98,44,26150,0.0016826
80+,1984,Male,176.44,117.13,235.75,34,19270,0.001764401
Total,1985,Male,17.37,15.32,19.42,282,1620600,0.00017401
00-04,1985,Male,0,0,0,0,129260,0
05-09,1985,Male,0,0,0,0,130320,0
10-14,1985,Male,0,0,0,0,151250,0
15-19,1985,Male,0,0,0,0,155300,0
20-24,1985,Male,0,0,0,0,148910,0
25-29,1985,Male,0.75,0,2.23,1,132770,7.53e-06
30-34,1985,Male,1.64,0,3.92,2,121640,1.64e-05
35-39,1985,Male,1.69,0,4.02,2,118640,1.69e-05
40-44,1985,Male,6.28,1.26,11.31,6,95530,6.28e-05
45-49,1985,Male,9.82,3.02,16.63,8,81430,9.82e-05
50-54,1985,Male,20.25,10,30.5,15,74060,0.000202538
55-59,1985,Male,29.6,17.23,41.97,22,74330,0.000295977
60-64,1985,Male,53.44,35.98,70.89,36,67370,0.000534362
65-69,1985,Male,88.34,62.53,114.15,45,50940,0.000883392
70-74,1985,Male,125.68,91.84,159.52,53,42170,0.001256818
75-79,1985,Male,160.21,112.32,208.09,43,26840,0.001602086
80+,1985,Male,247.35,178.09,316.61,49,19810,0.002473498
Total,1986,Male,14.84,12.99,16.7,250,1622700,0.000154064
00-04,1986,Male,0,0,0,0,128690,0
05-09,1986,Male,0,0,0,0,129210,0
10-14,1986,Male,0,0,0,0,147370,0
15-19,1986,Male,0,0,0,0,153590,0
20-24,1986,Male,0,0,0,0,142550,0
25-29,1986,Male,0.74,0,2.2,1,134620,7.43e-06
30-34,1986,Male,2.43,0,5.18,3,123400,2.43e-05
35-39,1986,Male,5.81,1.51,10.12,7,120390,5.81e-05
40-44,1986,Male,3.07,0,6.54,3,97750,3.07e-05
45-49,1986,Male,2.36,0,5.63,2,84750,2.36e-05
50-54,1986,Male,19.14,9.12,29.17,14,73130,0.00019144
55-59,1986,Male,22.58,11.84,33.31,17,75300,0.000225764
60-64,1986,Male,53.12,35.77,70.47,36,67770,0.000531208
65-69,1986,Male,68.45,46.09,90.82,36,52590,0.000684541
70-74,1986,Male,90.13,61.47,118.79,38,42160,0.000901328
75-79,1986,Male,182.93,132.72,233.13,51,27880,0.001829268
80+,1986,Male,195.44,136.33,254.55,42,21490,0.001954397
Total,1987,Male,14.29,12.48,16.1,243,1633900,0.000148724
00-04,1987,Male,0,0,0,0,131450,0
05-09,1987,Male,0,0,0,0,128090,0
10-14,1987,Male,0,0,0,0,141660,0
15-19,1987,Male,0.65,0,1.91,1,154610,6.47e-06
20-24,1987,Male,0.71,0,2.1,1,140860,7.1e-06
25-29,1987,Male,0.73,0,2.16,1,137190,7.29e-06
30-34,1987,Male,0.8,0,2.36,1,125670,7.96e-06
35-39,1987,Male,1.65,0,3.95,2,120930,1.65e-05
40-44,1987,Male,2.94,0,6.27,3,101940,2.94e-05
45-49,1987,Male,6.75,1.35,12.15,6,88930,6.75e-05
50-54,1987,Male,10.95,3.36,18.54,8,73070,0.000109484
55-59,1987,Male,30.91,18.28,43.54,23,74410,0.000309098
60-64,1987,Male,43.74,28.09,59.4,30,68580,0.000437445
65-69,1987,Male,69.37,47.01,91.72,37,53340,0.000693663
70-74,1987,Male,90.13,61.47,118.79,38,42160,0.000901328
75-79,1987,Male,146.24,102.01,190.47,42,28720,0.001462396
80+,1987,Male,224.11,161.99,286.24,50,22310,0.002241147
Total,1988,Male,13.46,11.71,15.21,230,1638400,0.000140381
00-04,1988,Male,0,0,0,0,133720,0
05-09,1988,Male,0,0,0,0,127170,0
10-14,1988,Male,0,0,0,0,136310,0
15-19,1988,Male,0,0,0,0,153500,0
20-24,1988,Male,0.72,0,2.14,1,138150,7.24e-06
25-29,1988,Male,0,0,0,0,139780,0
30-34,1988,Male,0,0,0,0,127810,0
35-39,1988,Male,4.15,0.51,7.79,5,120480,4.15e-05
40-44,1988,Male,1.9,0,4.54,2,105170,1.9e-05
45-49,1988,Male,7.59,1.97,13.22,7,92210,7.59e-05
50-54,1988,Male,15.07,6.17,23.98,11,72970,0.000150747
55-59,1988,Male,30.34,17.66,43.01,22,72520,0.000303365
60-64,1988,Male,43.26,27.78,58.74,30,69350,0.000432588
65-69,1988,Male,58.29,38.09,78.48,32,54900,0.000582878
70-74,1988,Male,83.61,55.91,111.31,35,41860,0.00083612
75-79,1988,Male,119.29,79.77,158.81,35,29340,0.001192911
80+,1988,Male,216.45,156.45,276.45,50,23100,0.002164502
Total,1989,Male,13.59,11.86,15.31,242,1641200,0.000147453
00-04,1989,Male,0,0,0,0,136070,0
05-09,1989,Male,0,0,0,0,127250,0
10-14,1989,Male,0,0,0,0,132830,0
15-19,1989,Male,0,0,0,0,150480,0
20-24,1989,Male,0.74,0,2.19,1,134900,7.41e-06
25-29,1989,Male,0,0,0,0,137790,0
30-34,1989,Male,2.31,0,4.92,3,129970,2.31e-05
35-39,1989,Male,1.7,0,4.05,2,117820,1.7e-05
40-44,1989,Male,1.82,0,4.35,2,109750,1.82e-05
45-49,1989,Male,4.26,0.09,8.43,4,93950,4.26e-05
50-54,1989,Male,14.62,5.98,23.26,11,75250,0.000146179
55-59,1989,Male,22.28,11.36,33.2,16,71800,0.000222841
60-64,1989,Male,37.31,22.97,51.66,26,69680,0.000373134
65-69,1989,Male,90.37,65.81,114.94,52,57540,0.000903719
70-74,1989,Male,100.67,70.22,131.12,42,41720,0.001006711
75-79,1989,Male,129.31,88.73,169.89,39,30160,0.001293103
80+,1989,Male,181.67,127.99,235.35,44,24220,0.00181668
Total,1990,Male,12.97,11.29,14.64,233,1656100,0.000140692
00-04,1990,Male,0,0,0,0,139730,0
05-09,1990,Male,0,0,0,0,128030,0
10-14,1990,Male,0,0,0,0,129900,0
15-19,1990,Male,0,0,0,0,147770,0
20-24,1990,Male,0.74,0,2.18,1,135850,7.36e-06
25-29,1990,Male,1.47,0,3.51,2,135780,1.47e-05
30-34,1990,Male,0,0,0,0,133280,0
35-39,1990,Male,4.15,0.51,7.79,5,120480,4.15e-05
40-44,1990,Male,1.73,0,4.14,2,115290,1.73e-05
45-49,1990,Male,6.41,1.28,11.54,6,93570,6.41e-05
50-54,1990,Male,12.85,4.88,20.81,10,77830,0.000128485
55-59,1990,Male,31.04,18.07,44.01,22,70870,0.000310428
60-64,1990,Male,44.15,28.61,59.69,31,70220,0.00044147
65-69,1990,Male,60.78,40.93,80.63,36,59230,0.0006078
70-74,1990,Male,82.82,55.38,110.26,35,42260,0.000828206
75-79,1990,Male,124.18,84.7,163.67,38,30600,0.00124183
80+,1990,Male,177.1,125.35,228.84,45,25410,0.001770956
Total,1991,Male,12.87,11.23,14.51,239,1677900,0.00014244
00-04,1991,Male,0,0,0,0,143260,0
05-09,1991,Male,0,0,0,0,130100,0
10-14,1991,Male,0,0,0,0,130360,0
15-19,1991,Male,0,0,0,0,144110,0
20-24,1991,Male,0,0,0,0,138680,0
25-29,1991,Male,0,0,0,0,134770,0
30-34,1991,Male,0.73,0,2.17,1,136580,7.32e-06
35-39,1991,Male,3.25,0.06,6.43,4,123080,3.25e-05
40-44,1991,Male,5.9,1.53,10.28,7,118570,5.9e-05
45-49,1991,Male,5.24,0.65,9.84,5,95330,5.24e-05
50-54,1991,Male,7.39,1.48,13.3,6,81210,7.39e-05
55-59,1991,Male,27.42,15.09,39.76,19,69280,0.000274249
60-64,1991,Male,38.51,23.98,53.03,27,70120,0.000385054
65-69,1991,Male,66.2,45.69,86.72,40,60420,0.000662032
70-74,1991,Male,101.31,71.71,130.91,45,44420,0.001013057
75-79,1991,Male,118.32,80.2,156.45,37,31270,0.001183243
80+,1991,Male,182.03,130.53,233.52,48,26370,0.00182025
Total,1992,Male,12.89,11.28,14.5,249,1697400,0.000146695
00-04,1992,Male,0,0,0,0,146460,0
05-09,1992,Male,0,0,0,0,132850,0
10-14,1992,Male,0,0,0,0,129470,0
15-19,1992,Male,0,0,0,0,138840,0
20-24,1992,Male,0,0,0,0,140840,0
25-29,1992,Male,0,0,0,0,131760,0
30-34,1992,Male,1.43,0,3.42,2,139460,1.43e-05
35-39,1992,Male,3.2,0.06,6.33,4,125140,3.2e-05
40-44,1992,Male,4.23,0.52,7.94,5,118100,4.23e-05
45-49,1992,Male,9.12,3.16,15.07,9,98720,9.12e-05
50-54,1992,Male,6.97,1.39,12.55,6,86030,6.97e-05
55-59,1992,Male,20.03,9.54,30.52,14,69900,0.000200286
60-64,1992,Male,60.15,41.96,78.34,42,69830,0.000601461
65-69,1992,Male,52.63,34.67,70.59,33,62700,0.000526316
70-74,1992,Male,97.25,69.15,125.36,46,47300,0.000972516
75-79,1992,Male,145.83,104.14,187.52,47,32230,0.001458269
80+,1992,Male,147.59,102.41,192.77,41,27780,0.001475882
Total,1993,Male,18.11,16.2,20.01,353,1714600,0.000205879
00-04,1993,Male,0,0,0,0,147610,0
05-09,1993,Male,0,0,0,0,135720,0
10-14,1993,Male,0,0,0,0,130720,0
15-19,1993,Male,0.74,0,2.21,1,134230,7.45e-06
20-24,1993,Male,0,0,0,0,140380,0
25-29,1993,Male,0.78,0,2.31,1,128080,7.81e-06
30-34,1993,Male,1.43,0,3.4,2,140310,1.43e-05
35-39,1993,Male,6.21,1.91,10.52,8,128760,6.21e-05
40-44,1993,Male,8.46,3.22,13.71,10,118140,8.46e-05
45-49,1993,Male,11.57,5.03,18.12,12,103680,0.000115741
50-54,1993,Male,20.1,10.81,29.38,18,89570,0.00020096
55-59,1993,Male,33.44,20.06,46.82,24,71770,0.000334402
60-64,1993,Male,48.36,32.1,64.61,34,70310,0.000483573
65-69,1993,Male,50.39,32.93,67.85,32,63500,0.000503937
70-74,1993,Male,131.47,99.75,163.19,66,50200,0.001314741
75-79,1993,Male,161.44,117.97,204.9,53,32830,0.001614377
80+,1993,Male,319.44,254.17,384.72,92,28800,0.003194444
Total,1994,Male,11.06,9.6,12.51,224,1735500,0.000129069
00-04,1994,Male,0,0,0,0,147580,0
05-09,1994,Male,0,0,0,0,139210,0
10-14,1994,Male,0,0,0,0,131990,0
15-19,1994,Male,0,0,0,0,131520,0
20-24,1994,Male,0,0,0,0,138850,0
25-29,1994,Male,0,0,0,0,127030,0
30-34,1994,Male,0.7,0,2.08,1,142090,7.04e-06
35-39,1994,Male,3,0.06,5.94,4,133420,3e-05
40-44,1994,Male,4.17,0.52,7.83,5,119850,4.17e-05
45-49,1994,Male,5.51,1.1,9.92,6,108850,5.51e-05
50-54,1994,Male,8.75,2.69,14.81,8,91450,8.75e-05
55-59,1994,Male,21.83,11.13,32.52,16,73310,0.000218251
60-64,1994,Male,32.68,19.32,46.03,23,70390,0.000326751
65-69,1994,Male,52.3,34.72,69.88,34,65010,0.000522996
70-74,1994,Male,93.15,66.8,119.5,48,51530,0.000931496
75-79,1994,Male,88.7,56.96,120.45,30,33820,0.000887049
80+,1994,Male,165.37,119.07,211.68,49,29630,0.001653729
Total,1995,Male,11.43,9.95,12.91,232,1761300,0.000131721
00-04,1995,Male,0,0,0,0,145920,0
05-09,1995,Male,0,0,0,0,144540,0
10-14,1995,Male,0,0,0,0,133860,0
15-19,1995,Male,0,0,0,0,132800,0
20-24,1995,Male,0.73,0,2.17,1,136370,7.33e-06
25-29,1995,Male,0.76,0,2.24,1,132070,7.57e-06
30-34,1995,Male,2.1,0,4.49,3,142570,2.1e-05
35-39,1995,Male,1.47,0,3.5,2,136420,1.47e-05
40-44,1995,Male,4.04,0.5,7.57,5,123890,4.04e-05
45-49,1995,Male,10.27,4.46,16.07,12,116890,0.000102661
50-54,1995,Male,15.21,7.24,23.18,14,92040,0.000152108
55-59,1995,Male,26.41,14.84,37.99,20,75720,0.000264131
60-64,1995,Male,26.56,14.29,38.83,18,67770,0.000265604
65-69,1995,Male,56.16,37.82,74.51,36,64100,0.000561622
70-74,1995,Male,85.14,59.98,110.3,44,51680,0.000851393
75-79,1995,Male,113.37,77.32,149.41,38,33520,0.001133652
80+,1995,Male,122.19,83.34,161.04,38,31100,0.001221865
Total,1996,Male,11.93,10.45,13.42,251,1841770,0.000136282
00-04,1996,Male,0,0,0,0,152260,0
05-09,1996,Male,0,0,0,0,151780,0
10-14,1996,Male,0,0,0,0,138270,0
15-19,1996,Male,0.72,0,2.15,1,137990,7.25e-06
20-24,1996,Male,0.71,0,2.11,1,140360,7.12e-06
25-29,1996,Male,1.44,0,3.43,2,139280,1.44e-05
30-34,1996,Male,1.35,0,3.23,2,147800,1.35e-05
35-39,1996,Male,2.75,0.05,5.44,4,145520,2.75e-05
40-44,1996,Male,6.88,2.39,11.38,9,130790,6.88e-05
45-49,1996,Male,8.82,3.61,14.03,11,124710,8.82e-05
50-54,1996,Male,14.42,6.87,21.97,14,97090,0.000144196
55-59,1996,Male,17.09,8.14,26.05,14,81910,0.000170919
60-64,1996,Male,40.89,25.75,56.04,28,68470,0.000408938
65-69,1996,Male,57.34,39.11,75.57,38,66270,0.000573412
70-74,1996,Male,102.27,74.99,129.55,54,52800,0.001022727
75-79,1996,Male,90.46,58.61,122.3,31,34270,0.000904581
80+,1996,Male,130.43,90.99,169.88,42,32200,0.001304348
Total,1997,Male,11.14,9.72,12.55,241,1864210,0.000129277
00-04,1997,Male,0,0,0,0,150390,0
05-09,1997,Male,0,0,0,0,155940,0
10-14,1997,Male,0.71,0,2.11,1,140450,7.12e-06
15-19,1997,Male,0.72,0,2.14,1,138210,7.24e-06
20-24,1997,Male,0,0,0,0,137150,0
25-29,1997,Male,0,0,0,0,140310,0
30-34,1997,Male,3.41,0.42,6.4,5,146550,3.41e-05
35-39,1997,Male,0,0,0,0,149520,0
40-44,1997,Male,5.96,1.83,10.1,8,134150,5.96e-05
45-49,1997,Male,8.76,3.58,13.93,11,125610,8.76e-05
50-54,1997,Male,8.76,3.04,14.49,9,102690,8.76e-05
55-59,1997,Male,26.83,15.86,37.79,23,85740,0.000268253
60-64,1997,Male,29.11,16.35,41.86,20,68710,0.000291078
65-69,1997,Male,62.22,43.18,81.27,41,65890,0.000622249
